bin_id,sentiment,Tstart,Tend,bin_position
3960,-0.20000,1584569647174,1584626470789,1
3961,-0.60000,1584569647174,1584626470789,2
3970,-0.80000,1584525920806,1584626436860,1
3971,-0.80000,1584525920806,1584626436860,2
3974,-0.78000,1584625589036,1584626412794,1
3975,-0.30000,1584625589036,1584626412794,2
3982,-0.80000,1583501992936,1584626352027,1
3983,-0.80000,1583501992936,1584626352027,2
4003,-0.90000,1584624595654,1584626279142,1
4008,-0.50000,1584525920806,1584626238874,1
4009,0.00000,1584525920806,1584626238874,2
4036,-0.90000,1584110676264,1584626184258,1
4037,-0.90000,1584110676264,1584626184258,2
4067,-0.25000,1584603509290,1584626063132,1
4070,-0.85000,1584570341747,1584626048851,1
4071,0.30000,1584570341747,1584626048851,2
4072,-0.80000,1584570341747,1584626048851,3
4073,-0.80000,1584110927130,1584626041263,1
4099,-0.65000,1584525920806,1584625949545,1
4112,-0.35000,1584101935062,1584625888724,1
4128,-0.60000,1584615846584,1584625824983,1
4133,-0.10000,1584181749592,1584625819508,1
4134,0.10000,1584181749592,1584625819508,2
4136,-0.78000,1584623552727,1584625807330,1
4137,-0.70000,1584623552727,1584625807330,2
4138,-0.78000,1584624009119,1584625807152,1
4139,-0.60000,1584624009119,1584625807152,2
4143,-0.10000,1584538493635,1584625780272,1
4144,0.10000,1584538493635,1584625780272,2
4145,-0.10000,1584110676264,1584625778476,1
4146,-0.10000,1584110676264,1584625778476,2
4149,0.70000,1584620505700,1584625748478,1
4150,0.00000,1584620505700,1584625748478,2
4164,-0.50000,1584569772266,1584625701816,1
4168,-0.18333,1584625061563,1584625680248,1
4174,-0.26000,1584466167497,1584625667887,1
4225,-0.90000,1584617347011,1584625536629,1
4226,-0.80000,1584617347011,1584625536629,2
4242,-0.45000,1584623552727,1584625508924,1
